JEP	John Euliano Park (JEP)	basefield
FC-A	All Knight Study (FC-A)	7h
ADP	Alpha Delta Pi - Sorority (ADP)	406
G409	Alpha Epsilon Phi - Sorority (G409)	409
ATO	Alpha Tau Omega - Fraternity (ATO)	410
AZD	Alpha Xi Delta - Sorority (AZD)	404
ARF	Ampac (ARF)	152
LC55	Aquarius Courtyard #55 (LC55)	55
LC56	Aquarius Courtyard #56 (LC56)	56
LC57	Aquarius Courtyard #57 (LC57)	57
LC58	Aquarius Courtyard #58 (LC58)	58
LC59	Aquarius Courtyard #59 (LC59)	59
ADRF	Ara Dr. Research Facility (ADRF)	117
ARB	Arboretum (ARB)	525
VAB	Art Gallery (VAB)	51a
BAND	Band Practice Facility (BAND)	band-practice-facility
BAND	Band Storage (BAND)	630
BYC	Barbara Ying Center (BYC)	71
CMMS	Barbara Ying Center - CMMS (CMMS)	81
no_abbr	Bennett Research II	3251
LS01	Bio Molecular Meeting Portable (LS01)	601
BIO	Biological Sciences (BIO)	20
BTG	Biological Transgenic Greenhouse (BTG)	124
BFRC	Biology Field Research Center (BFRC)	92
BMRA	Biomolecular Research Annex (BMRA)	8114
BPW	BPW Scholarship House (BPW)	402
BRE	Brevard Hall (BRE)	30
BHC	Burnett Honors College (BHC)	95
PRS	Burnett House (PRS)	100
COM	Burnett School of Biomedical Sciences (COM)	1002
BA1	Business Administration I (BA1)	45
BA2	Business Administration II (BA2)	94
CSEL	Career Services and Experiential Learning (CSEL)	140
CEM	Center for Emerging Media (CEM)	906
ARNA	CFE Arena (ARNA)	50
no_abbr	Challenge Course	u4
CHEM	Chemistry (CHEM)	5
G416	Chi Omega - Sorority (G416)	416
CIT	Citrus Hall (CIT)	85
CB1	Classroom Building I (CB1)	79
CB2	Classroom Building II (CB2)	98
CNH	Colbourn Hall (CNH)	18
CAH	College of Arts & Humanities (CAH)	87
CSB	College of Sciences Building (CSB)	54
WD1	Construction zone (WD1)	38
WD2	Construction zone (WD2)	39
CAPS	Counseling and Psychological Services (CAPS)	27
CSC2	Creative School 1st Grade (CSC2)	529
CSC1	Creative School for Children 1 (CSC1)	24
CSC3	Creative School Module 2 (CSC3)	540
CROL	CREOL (CROL)	53
DDD	Delta Delta Delta - Sorority (DDD)	403
no_abbr	Disc Golf Course	dgc
UWC	Duke Energy UCF Welcome Center (UWC)	96
ECC	Early Childhood Center (ECC)	28
ED	Education (ED)	21
EOC	Emergency Operation Center (EOC)	49
ESTB	Emergency Services Training Building (ESTB)	350
ERL	Engine Research Lab (ERL)	76
ENG1	Engineering I (ENG1)	40
ENG2	Engineering II (ENG2)	91
ENP	Engineering Research Pavilion (ENP)	319
EDC	Executive Development Center - UCF College of Business (EDC)	902
FSC	Facilities and Safety (FSC)	16
ALUM	Fairwinds Alumni Center (ALUM)	126
FC-G	Ferrell Commons - G (FC-G)	7g
FIEA	FIEA - Florida Interactive Entertainment Academy (FIEA)	fiea-florida-interactive-entertainment-academy
FS65	Fire Station #62 (FS65)	351
FLA	Flagler Hall (FLA)	86
no_abbr	Football Practice Field	footpracfld
G415	Fraternity and Sorority Life (G415)	415
LC66	Gemini Courtyard #66 (LC66)	66
LC67	Gemini Courtyard #67 (LC67)	67
LC68	Gemini Courtyard #68 (LC68)	68
LC69	Gemini Courtyard #69 (LC69)	69
LC70	Gemini Courtyard #70 (LC70)	70
HEC	Harris Corporation Engineering Center (HEC)	116
HPA1	Health & Public Affairs I (HPA1)	80
HPA2	Health & Public Affairs II (HPA2)	90
HC	Health Center & Pharmacy (HC)	127
H108	Hercules 108 (H108)	108
H109	Hercules 109 (H109)	109
H110	Hercules 110 (H110)	110
H111	Hercules 111 (H111)	111
H112	Hercules 112 (H112)	112
H113	Hercules 113 (H113)	113
H114	Hercules 114 (H114)	114
H115	Hercules 115 (H115)	115
HAB	Housing Administration (HAB)	73
HPH	Howard Phillips Hall (HPH)	14
no_abbr	IN VIVO Research	12601
IC	Innovative Center (IC)	8112
no_abbr	IST Technology Development Center	12423
JBF	Jay Bergman Field - Baseball Stadium (JBF)	82
LIB	John C. Hitt Library (LIB)	2
JTWC	John T. Washington Center (JTWC)	26
G411	Kappa Alpha Theta - Sorority (G411)	411
KD	Kappa Delta - Sorority (KD)	407
G417	Kappa Kappa Gamma - Sorority (G417)	417
KS	Kappa Sigma - Fraternity (KS)	413
no_abbr	Knight's Circle	pl
no_abbr	Knight's Pantry	knights-pantry
KTRS	Knightro's (KTRS)	50b
KP1	Knights Plaza I (KP1)	137
LC65	Lake Claire Community Office and Center (LC65)	65
no_abbr	Lake Claire Recreational Area	lake-claire-recreational-area
LAK	Lake Hall (LAK)	9
LPS	Leisure Pool Services (LPS)	118
LCC	Libra Community Center (LCC)	33
FC-A	Live Oak Ballroom/Garden Room (FC-A)	7ab
LYNX	LYNX/UCF Transit Center (LYNX)	ucf-transit-center
FC-D	Marketplace Dining Hall (FC-D)	7aa
MSB	Mathematical Sciences Building (MSB)	12
COM	Medical Education Building (COM)	1001
no_abbr	Memory Mall	memorymall
MH	Millican Hall (MH)	1
MMAE	MMAE Facility (MMAE)	154
MIRC	Morgridge International Reading Center (MIRC)	122
N156	Neptune 156 (N156)	156
N157	Neptune 157 (N157)	157
N158	Neptune 158 (N158)	158
NFH	Nicholson Fieldhouse (NFH)	128
NSC	Nicholson School of Communication and Media (NSC)	75
N101	Nike 101 (N101)	101
N102	Nike 102 (N102)	102
N103	Nike 103 (N103)	103
N104	Nike 104 (N104)	104
N105	Nike 105 (N105)	105
N106	Nike 106 (N106)	106
N107	Nike 107 (N107)	107
NV	Northview (NV)	northview
FC-C	Office of Student Rights and Responsibilities (FC-C)	7c
OCPS	Orange County School System (OCPS)	546
ORG	Orange Hall (ORG)	31
orlando-shakes	Orlando Shakespeare Theatre in Partnership with UCF (orlando-shakes)	9009
OTC3	Orlando Tech Center (OTC3)	8113
OTC5	Orlando Tech Center - Bldg. 500 (OTC5)	8120
OTC6	Orlando Tech Center - Bldg. 600 (OTC6)	8121
OSC	Osceola Hall (OSC)	10
no_abbr	Parking & Transportation Services	u1
CPS	Partnership I (CPS)	8111
P2	Partnership II (P2)	8119
P3	Partnership III (P3)	8126
LC60	Pegasus Courtyard #60 (LC60)	60
LC61	Pegasus Courtyard #61 (LC61)	61
LC62	Pegasus Courtyard #62 (LC62)	62
LC63	Pegasus Courtyard #63 (LC63)	63
LC64	Pegasus Courtyard #64 (LC64)	64
PAC	Performing Arts Center (PAC)	119
PAC	Performing Arts Center Music (PAC)	m119
PAC	Performing Arts Center Theatre (PAC)	t119
PSB	Physical Sciences Building (PSB)	121
PBP	Pi Beta Phi - Sorority (PBP)	405
POL	Polk Hall (POL)	11
PRNT	Print Shop (PRNT)	22
PSY	Psychology Building (PSY)	99
UPD	Public Safety Building (Police) (UPD)	150
RSSP	Rec Services Soccer Field Pavilion (RSSP)	317
RWC	Recreation and Wellness Center (RWC)	88
RSP	Recreation Service Pavilion (RSP)	318
RFM	Recreation Services Field Maintenance (RFM)	321
RSFR	Recreation Services Field Restroom (RSFR)	320
RSB	Recreation Support (RSB)	25
RC	Recycling Center (RC)	327
no_abbr	Reflecting Pond	pond
KSK	Reflections Kiosk (KSK)	310
RH	Rehearsal Hall (RH)	19
R1	Research 1 (R1)	research-1
PVL	Research Pavilion (PVL)	8102
LS23	Retirement Planning & Investments / Athletics (LS23)	623
OBSV	Robinson Observatory (OBSV)	74
no_abbr	Rosen College Apartments	rosen-college-apartments
no_abbr	ROTC (Army/Air Force)	rotc
no_abbr	RWC Park	u3
FC-B	SDES Information Technology (FC-B)	7b
SEM	Seminole Hall (SEM)	32
SEC	Siemens Energy Center (SEC)	44
SX	Sigma Chi - Fraternity (SX)	412
STTC	Simulation, Training and Technology Center (STTC)	8125
SBDC	Small Business Development Center (SBDC)	small-business-development-center
no_abbr	Soccer Practice Field	socpracfld
SBS	Softball Stadium (SBS)	125
BHNS	Spectrum Stadium (BHNS)	135
FC-E	SRC Auditorium (FC-E)	7e
SWRL	Storm Water Research Lab (SWRL)	4
FC-F	Student Accessibility Services (FC-F)	7f
STUN	Student Union (STUN)	52
SUM	Sumter Hall (SUM)	84
TA	Teaching Academy (TA)	93
TC1	Technology Commons I (TC1)	13
TC2	Technology Commons II (TC2)	29
IRIF	Technology Incubator (IRIF)	3267
no_abbr	The Venue	50c
TH	Theatre (TH)	6
TRNP	Timothy R. Newman Nature Pavilion (TRNP)	329
T1	Tower I (T1)	129
T2	Tower II (T2)	130
T3	Tower III (T3)	132
T4	Tower IV (T4)	133
TSS	Track & Soccer Stadium (TSS)	142
no_abbr	Trailer	501
no_abbr	Trailer 2	503
no_abbr	Trailer 3	504
no_abbr	Trailer 4	505
TCH	Trevor Colbourn Hall (TCH)	trevor-colbourn-hall
